disputer, disputant, disputé, je dispute,tu disputes,il dispute,nous disputons,vous disputez,ils disputent, j'ai disputé,tu as disputé,il a disputé,nous avons disputé,vous avez disputé,ils ont disputé, je disputais,tu disputais,il disputait,nous disputions,vous disputiez,ils disputaient, je disputai,tu disputas,il disputa,nous disputâmes,vous disputâtes,ils disputèrent, je disputerai,tu disputeras,il disputera,nous disputerons,vous disputerez,ils disputeront, je disputerais,tu disputerais,il disputerait,nous disputerions,vous disputeriez,ils disputeraient, que je dispute,que tu disputes,qu'il dispute,que nous disputions,que vous disputiez,qu'ils disputent, que je disputasse,que tu disputasses,qu'il disputât,que nous disputassions,que vous disputassiez,qu'ils disputassent, (tu) dispute,(nous) disputons,(vous) disputez
rompre, rompant, rompu, je romps,tu romps,il rompt,nous rompons,vous rompez,ils rompent, j'ai rompu,tu as rompu,il a rompu,nous avons rompu,vous avez rompu,ils ont rompu, je rompais,tu rompais,il rompait,nous rompions,vous rompiez,ils rompaient, je rompis,tu rompis,il rompit,nous rompîmes,vous rompîtes,ils rompirent, je romprai,tu rompras,il rompra,nous romprons,vous romprez,ils rompront, je romprais,tu romprais,il romprait,nous romprions,vous rompriez,ils rompraient, que je rompe,que tu rompes,qu'il rompe,que nous rompions,que vous rompiez,qu'ils rompent, que je rompisse,que tu rompisses,qu'il rompît,que nous rompissions,que vous rompissiez,qu'ils rompissent, (tu) romps,(nous) rompons,(vous) rompez
croire, croyant, cru, je crois,tu crois,il croit,nous croyons,vous croyez,ils croient, j'ai cru,tu as cru,il a cru,nous avons cru,vous avez cru,ils ont cru, je croyais,tu croyais,il croyait,nous croyions,vous croyiez,ils croyaient, je crus,tu crus,il crut,nous crûmes,vous crûtes,ils crurent, je croirai,tu croiras,il croira,nous croirons,vous croirez,ils croiront, je croirais,tu croirais,il croirait,nous croirions,vous croiriez,ils croiraient, que je croie,que tu croies,qu'il croie,que nous croyions,que vous croyiez,qu'ils croient, que je crusse,que tu crusses,qu'il crût,que nous crussions,que vous crussiez,qu'ils crussent, (tu) crois,(nous) croyons,(vous) croyez
construire, construisant, construit, je construis,tu construis,il construit,nous construisons,vous construisez,ils construisent, j'ai construit,tu as construit,il a construit,nous avons construit,vous avez construit,ils ont construit, je construisais,tu construisais,il construisait,nous construisions,vous construisiez,ils construisaient, je construisis,tu construisis,il construisit,nous construisîmes,vous construisîtes,ils construisirent, je construirai,tu construiras,il construira,nous construirons,vous construirez,ils construiront, je construirais,tu construirais,il construirait,nous construirions,vous construiriez,ils construiraient, que je construise,que tu construises,qu'il construise,que nous construisions,que vous construisiez,qu'ils construisent, que je construisisse,que tu construisisses,qu'il construisît,que nous construisissions,que vous construisissiez,qu'ils construisissent, (tu) construis,(nous) construisons,(vous) construisez
acheter, achetant, acheté, j'achète,tu achètes,il achète,nous achetons,vous achetez,ils achètent, j'ai acheté,tu as acheté,il a acheté,nous avons acheté,vous avez acheté,ils ont acheté, j'achetais,tu achetais,il achetait,nous achetions,vous achetiez,ils achetaient, j'achetai,tu achetas,il acheta,nous achetâmes,vous achetâtes,ils achetèrent, j'achèterai,tu achèteras,il achètera,nous achèterons,vous achèterez,ils achèteront, j'achèterais,tu achèterais,il achèterait,nous achèterions,vous achèteriez,ils achèteraient, que j'achète,que tu achètes,qu'il achète,que nous achetions,que vous achetiez,qu'ils achètent, que j'achetasse,que tu achetasses,qu'il achetât,que nous achetassions,que vous achetassiez,qu'ils achetassent, (tu) achète,(nous) achetons,(vous) achetez
vendre, vendant, vendu, je vends,tu vends,il vend,nous vendons,vous vendez,ils vendent, j'ai vendu,tu as vendu,il a vendu,nous avons vendu,vous avez vendu,ils ont vendu, je vendais,tu vendais,il vendait,nous vendions,vous vendiez,ils vendaient, je vendis,tu vendis,il vendit,nous vendîmes,vous vendîtes,ils vendirent, je vendrai,tu vendras,il vendra,nous vendrons,vous vendrez,ils vendront, je vendrais,tu vendrais,il vendrait,nous vendrions,vous vendriez,ils vendraient, que je vende,que tu vendes,qu'il vende,que nous vendions,que vous vendiez,qu'ils vendent, que je vendisse,que tu vendisses,qu'il vendît,que nous vendissions,que vous vendissiez,qu'ils vendissent, (tu) vends,(nous) vendons,(vous) vendez
calculer, calculant, calculé, je calcule,tu calcules,il calcule,nous calculons,vous calculez,ils calculent, j'ai calculé,tu as calculé,il a calculé,nous avons calculé,vous avez calculé,ils ont calculé, je calculais,tu calculais,il calculait,nous calculions,vous calculiez,ils calculaient, je calculai,tu calculas,il calcula,nous calculâmes,vous calculâtes,ils calculèrent, je calculerai,tu calculeras,il calculera,nous calculerons,vous calculerez,ils calculeront, je calculerais,tu calculerais,il calculerait,nous calculerions,vous calculeriez,ils calculeraient, que je calcule,que tu calcules,qu'il calcule,que nous calculions,que vous calculiez,qu'ils calculent, que je calculasse,que tu calculasses,qu'il calculât,que nous calculassions,que vous calculassiez,qu'ils calculassent, (tu) calcule,(nous) calculons,(vous) calculez
téléphoner, téléphonant, téléphoné, je téléphone,tu téléphones,il téléphone,nous téléphonons,vous téléphonez,ils téléphonent, j'ai téléphoné,tu as téléphoné,il a téléphoné,nous avons téléphoné,vous avez téléphoné,ils ont téléphoné, je téléphonais,tu téléphonais,il téléphonait,nous téléphonions,vous téléphoniez,ils téléphonaient, je téléphonai,tu téléphonas,il téléphona,nous téléphonâmes,vous téléphonâtes,ils téléphonèrent, je téléphonerai,tu téléphoneras,il téléphonera,nous téléphonerons,vous téléphonerez,ils téléphoneront, je téléphonerais,tu téléphonerais,il téléphonerait,nous téléphonerions,vous téléphoneriez,ils téléphoneraient, que je téléphone,que tu téléphones,qu'il téléphone,que nous téléphonions,que vous téléphoniez,qu'ils téléphonent, que je téléphonasse,que tu téléphonasses,qu'il téléphonât,que nous téléphonassions,que vous téléphonassiez,qu'ils téléphonassent, (tu) téléphone,(nous) téléphonons,(vous) téléphonez
appeler, appelant, appelé, j'appelle,tu appelles,il appelle,nous appelons,vous appelez,ils appellent, j'ai appelé,tu as appelé,il a appelé,nous avons appelé,vous avez appelé,ils ont appelé, j'appelais,tu appelais,il appelait,nous appelions,vous appeliez,ils appelaient, j'appelai,tu appelas,il appela,nous appelâmes,vous appelâtes,ils appelèrent, j'appellerai,tu appelleras,il appellera,nous appellerons,vous appellerez,ils appelleront, j'appellerais,tu appellerais,il appellerait,nous appellerions,vous appelleriez,ils appelleraient, que j'appelle,que tu appelles,qu'il appelle,que nous appelions,que vous appeliez,qu'ils appellent, que j'appelasse,que tu appelasses,qu'il appelât,que nous appelassions,que vous appelassiez,qu'ils appelassent, (tu) appelle,(nous) appelons,(vous) appelez
porter, portant, porté, je porte,tu portes,il porte,nous portons,vous portez,ils portent, j'ai porté,tu as porté,il a porté,nous avons porté,vous avez porté,ils ont porté, je portais,tu portais,il portait,nous portions,vous portiez,ils portaient, je portai,tu portas,il porta,nous portâmes,vous portâtes,ils portèrent, je porterai,tu porteras,il portera,nous porterons,vous porterez,ils porteront, je porterais,tu porterais,il porterait,nous porterions,vous porteriez,ils porteraient, que je porte,que tu portes,qu'il porte,que nous portions,que vous portiez,qu'ils portent, que je portasse,que tu portasses,qu'il portât,que nous portassions,que vous portassiez,qu'ils portassent, (tu) porte,(nous) portons,(vous) portez
attraper, attrapant, attrapé, j'attrape,tu attrapes,il attrape,nous attrapons,vous attrapez,ils attrapent, j'ai attrapé,tu as attrapé,il a attrapé,nous avons attrapé,vous avez attrapé,ils ont attrapé, j'attrapais,tu attrapais,il attrapait,nous attrapions,vous attrapiez,ils attrapaient, j'attrapai,tu attrapas,il attrapa,nous attrapâmes,vous attrapâtes,ils attrapèrent, j'attraperai,tu attraperas,il attrapera,nous attraperons,vous attraperez,ils attraperont, j'attraperais,tu attraperais,il attraperait,nous attraperions,vous attraperiez,ils attraperaient, que j'attrape,que tu attrapes,qu'il attrape,que nous attrapions,que vous attrapiez,qu'ils attrapent, que j'attrapasse,que tu attrapasses,qu'il attrapât,que nous attrapassions,que vous attrapassiez,qu'ils attrapassent, (tu) attrape,(nous) attrapons,(vous) attrapez
prendre, prenant, pris, je prends,tu prends,il prend,nous prenons,vous prenez,ils prennent, j'ai pris,tu as pris,il a pris,nous avons pris,vous avez pris,ils ont pris, je prenais,tu prenais,il prenait,nous prenions,vous preniez,ils prenaient, je pris,tu pris,il prit,nous prîmes,vous prîtes,ils prirent, je prendrai,tu prendras,il prendra,nous prendrons,vous prendrez,ils prendront, je prendrais,tu prendrais,il prendrait,nous prendrions,vous prendriez,ils prendraient, que je prenne,que tu prennes,qu'il prenne,que nous prenions,que vous preniez,qu'ils prennent, que je prisse,que tu prisses,qu'il prît,que nous prissions,que vous prissiez,qu'ils prissent, (tu) prends,(nous) prenons,(vous) prenez
changer, changeant, changé, je change,tu changes,il change,nous changeons,vous changez,ils changent, j'ai changé,tu as changé,il a changé,nous avons changé,vous avez changé,ils ont changé, je changeais,tu changeais,il changeait,nous changions,vous changiez,ils changeaient, je changeai,tu changeas,il changea,nous changeâmes,vous changeâtes,ils changèrent, je changerai,tu changeras,il changera,nous changerons,vous changerez,ils changeront, je changerais,tu changerais,il changerait,nous changerions,vous changeriez,ils changeraient, que je change,que tu changes,qu'il change,que nous changions,que vous changiez,qu'ils changent, que je changeasse,que tu changeasses,qu'il changeât,que nous changeassions,que vous changeassiez,qu'ils changeassent, (tu) change,(nous) changeons,(vous) changez
bavarder, bavardant, bavardé, je bavarde,tu bavardes,il bavarde,nous bavardons,vous bavardez,ils bavardent, j'ai bavardé,tu as bavardé,il a bavardé,nous avons bavardé,vous avez bavardé,ils ont bavardé, je bavardais,tu bavardais,il bavardait,nous bavardions,vous bavardiez,ils bavardaient, je bavardai,tu bavardas,il bavarda,nous bavardâmes,vous bavardâtes,ils bavardèrent, je bavarderai,tu bavarderas,il bavardera,nous bavarderons,vous bavarderez,ils bavarderont, je bavarderais,tu bavarderais,il bavarderait,nous bavarderions,vous bavarderiez,ils bavarderaient, que je bavarde,que tu bavardes,qu'il bavarde,que nous bavardions,que vous bavardiez,qu'ils bavardent, que je bavardasse,que tu bavardasses,qu'il bavardât,que nous bavardassions,que vous bavardassiez,qu'ils bavardassent, (tu) bavarde,(nous) bavardons,(vous) bavardez
trancher, tranchant, tranché, je tranche,tu tranches,il tranche,nous tranchons,vous tranchez,ils tranchent, j'ai tranché,tu as tranché,il a tranché,nous avons tranché,vous avez tranché,ils ont tranché, je tranchais,tu tranchais,il tranchait,nous tranchions,vous tranchiez,ils tranchaient, je tranchai,tu tranchas,il trancha,nous tranchâmes,vous tranchâtes,ils tranchèrent, je trancherai,tu trancheras,il tranchera,nous trancherons,vous trancherez,ils trancheront, je trancherais,tu trancherais,il trancherait,nous trancherions,vous trancheriez,ils trancheraient, que je tranche,que tu tranches,qu'il tranche,que nous tranchions,que vous tranchiez,qu'ils tranchent, que je tranchasse,que tu tranchasses,qu'il tranchât,que nous tranchassions,que vous tranchassiez,qu'ils tranchassent, (tu) tranche,(nous) tranchons,(vous) tranchez
nettoyer, nettoyant, nettoyé, je nettoie,tu nettoies,il nettoie,nous nettoyons,vous nettoyez,ils nettoient, j'ai nettoyé,tu as nettoyé,il a nettoyé,nous avons nettoyé,vous avez nettoyé,ils ont nettoyé, je nettoyais,tu nettoyais,il nettoyait,nous nettoyions,vous nettoyiez,ils nettoyaient, je nettoyai,tu nettoyas,il nettoya,nous nettoyâmes,vous nettoyâtes,ils nettoyèrent, je nettoierai,tu nettoieras,il nettoiera,nous nettoierons,vous nettoierez,ils nettoieront, je nettoierais,tu nettoierais,il nettoierait,nous nettoierions,vous nettoieriez,ils nettoieraient, que je nettoie,que tu nettoies,qu'il nettoie,que nous nettoyions,que vous nettoyiez,qu'ils nettoient, que je nettoyasse,que tu nettoyasses,qu'il nettoyât,que nous nettoyassions,que vous nettoyassiez,qu'ils nettoyassent, (tu) nettoie,(nous) nettoyons,(vous) nettoyez
grimper, grimpant, grimpé, je grimpe,tu grimpes,il grimpe,nous grimpons,vous grimpez,ils grimpent, j'ai grimpé,tu as grimpé,il a grimpé,nous avons grimpé,vous avez grimpé,ils ont grimpé, je grimpais,tu grimpais,il grimpait,nous grimpions,vous grimpiez,ils grimpaient, je grimpai,tu grimpas,il grimpa,nous grimpâmes,vous grimpâtes,ils grimpèrent, je grimperai,tu grimperas,il grimpera,nous grimperons,vous grimperez,ils grimperont, je grimperais,tu grimperais,il grimperait,nous grimperions,vous grimperiez,ils grimperaient, que je grimpe,que tu grimpes,qu'il grimpe,que nous grimpions,que vous grimpiez,qu'ils grimpent, que je grimpasse,que tu grimpasses,qu'il grimpât,que nous grimpassions,que vous grimpassiez,qu'ils grimpassent, (tu) grimpe,(nous) grimpons,(vous) grimpez
escalader, escaladant, escaladé, j'escalade,tu escalades,il escalade,nous escaladons,vous escaladez,ils escaladent, j'ai escaladé,tu as escaladé,il a escaladé,nous avons escaladé,vous avez escaladé,ils ont escaladé, j'escaladais,tu escaladais,il escaladait,nous escaladions,vous escaladiez,ils escaladaient, j'escaladai,tu escaladas,il escalada,nous escaladâmes,vous escaladâtes,ils escaladèrent, j'escaladerai,tu escaladeras,il escaladera,nous escaladerons,vous escaladerez,ils escaladeront, j'escaladerais,tu escaladerais,il escaladerait,nous escaladerions,vous escaladeriez,ils escaladeraient, que j'escalade,que tu escalades,qu'il escalade,que nous escaladions,que vous escaladiez,qu'ils escaladent, que j'escaladasse,que tu escaladasses,qu'il escaladât,que nous escaladassions,que vous escaladassiez,qu'ils escaladassent, (tu) escalade,(nous) escaladons,(vous) escaladez
fermer, fermant, fermé, je ferme,tu fermes,il ferme,nous fermons,vous fermez,ils ferment, j'ai fermé,tu as fermé,il a fermé,nous avons fermé,vous avez fermé,ils ont fermé, je fermais,tu fermais,il fermait,nous fermions,vous fermiez,ils fermaient, je fermai,tu fermas,il ferma,nous fermâmes,vous fermâtes,ils fermèrent, je fermerai,tu fermeras,il fermera,nous fermerons,vous fermerez,ils fermeront, je fermerais,tu fermerais,il fermerait,nous fermerions,vous fermeriez,ils fermeraient, que je ferme,que tu fermes,qu'il ferme,que nous fermions,que vous fermiez,qu'ils ferment, que je fermasse,que tu fermasses,qu'il fermât,que nous fermassions,que vous fermassiez,qu'ils fermassent, (tu) ferme,(nous) fermons,(vous) fermez
ouvrir, ouvrant, ouvert, j'ouvre,tu ouvres,il ouvre,nous ouvrons,vous ouvrez,ils ouvrent, j'ai ouvert,tu as ouvert,il a ouvert,nous avons ouvert,vous avez ouvert,ils ont ouvert, j'ouvrais,tu ouvrais,il ouvrait,nous ouvrions,vous ouvriez,ils ouvraient, j'ouvris,tu ouvris,il ouvrit,nous ouvrîmes,vous ouvrîtes,ils ouvrirent, j'ouvrirai,tu ouvriras,il ouvrira,nous ouvrirons,vous ouvrirez,ils ouvriront, j'ouvrirais,tu ouvrirais,il ouvrirait,nous ouvririons,vous ouvririez,ils ouvriraient, que j'ouvre,que tu ouvres,qu'il ouvre,que nous ouvrions,que vous ouvriez,qu'ils ouvrent, que j'ouvrisse,que tu ouvrisses,qu'il ouvrît,que nous ouvrissions,que vous ouvrissiez,qu'ils ouvrissent, (tu) ouvre,(nous) ouvrons,(vous) ouvrez
cuisiner, cuisinant, cuisiné, je cuisine,tu cuisines,il cuisine,nous cuisinons,vous cuisinez,ils cuisinent, j'ai cuisiné,tu as cuisiné,il a cuisiné,nous avons cuisiné,vous avez cuisiné,ils ont cuisiné, je cuisinais,tu cuisinais,il cuisinait,nous cuisinions,vous cuisiniez,ils cuisinaient, je cuisinai,tu cuisinas,il cuisina,nous cuisinâmes,vous cuisinâtes,ils cuisinèrent, je cuisinerai,tu cuisineras,il cuisinera,nous cuisinerons,vous cuisinerez,ils cuisineront, je cuisinerais,tu cuisinerais,il cuisinerait,nous cuisinerions,vous cuisineriez,ils cuisineraient, que je cuisine,que tu cuisines,qu'il cuisine,que nous cuisinions,que vous cuisiniez,qu'ils cuisinent, que je cuisinasse,que tu cuisinasses,qu'il cuisinât,que nous cuisinassions,que vous cuisinassiez,qu'ils cuisinassent, (tu) cuisine,(nous) cuisinons,(vous) cuisinez
peigner, peignant, peigné, je peigne,tu peignes,il peigne,nous peignons,vous peignez,ils peignent, j'ai peigné,tu as peigné,il a peigné,nous avons peigné,vous avez peigné,ils ont peigné, je peignais,tu peignais,il peignait,nous peignions,vous peigniez,ils peignaient, je peignai,tu peignas,il peigna,nous peignâmes,vous peignâtes,ils peignèrent, je peignerai,tu peigneras,il peignera,nous peignerons,vous peignerez,ils peigneront, je peignerais,tu peignerais,il peignerait,nous peignerions,vous peigneriez,ils peigneraient, que je peigne,que tu peignes,qu'il peigne,que nous peignions,que vous peigniez,qu'ils peignent, que je peignasse,que tu peignasses,qu'il peignât,que nous peignassions,que vous peignassiez,qu'ils peignassent, (tu) peigne,(nous) peignons,(vous) peignez
coiffer, coiffant, coiffé, je coiffe,tu coiffes,il coiffe,nous coiffons,vous coiffez,ils coiffent, j'ai coiffé,tu as coiffé,il a coiffé,nous avons coiffé,vous avez coiffé,ils ont coiffé, je coiffais,tu coiffais,il coiffait,nous coiffions,vous coiffiez,ils coiffaient, je coiffai,tu coiffas,il coiffa,nous coiffâmes,vous coiffâtes,ils coiffèrent, je coifferai,tu coifferas,il coiffera,nous coifferons,vous coifferez,ils coifferont, je coifferais,tu coifferais,il coifferait,nous coifferions,vous coifferiez,ils coifferaient, que je coiffe,que tu coiffes,qu'il coiffe,que nous coiffions,que vous coiffiez,qu'ils coiffent, que je coiffasse,que tu coiffasses,qu'il coiffât,que nous coiffassions,que vous coiffassiez,qu'ils coiffassent, (tu) coiffe,(nous) coiffons,(vous) coiffez
compter, comptant, compté, je compte,tu comptes,il compte,nous comptons,vous comptez,ils comptent, j'ai compté,tu as compté,il a compté,nous avons compté,vous avez compté,ils ont compté, je comptais,tu comptais,il comptait,nous comptions,vous comptiez,ils comptaient, je comptai,tu comptas,il compta,nous comptâmes,vous comptâtes,ils comptèrent, je compterai,tu compteras,il comptera,nous compterons,vous compterez,ils compteront, je compterais,tu compterais,il compterait,nous compterions,vous compteriez,ils compteraient, que je compte,que tu comptes,qu'il compte,que nous comptions,que vous comptiez,qu'ils comptent, que je comptasse,que tu comptasses,qu'il comptât,que nous comptassions,que vous comptassiez,qu'ils comptassent, (tu) compte,(nous) comptons,(vous) comptez
marcher, marchant, marché, je marche,tu marches,il marche,nous marchons,vous marchez,ils marchent, j'ai marché,tu as marché,il a marché,nous avons marché,vous avez marché,ils ont marché, je marchais,tu marchais,il marchait,nous marchions,vous marchiez,ils marchaient, je marchai,tu marchas,il marcha,nous marchâmes,vous marchâtes,ils marchèrent, je marcherai,tu marcheras,il marchera,nous marcherons,vous marcherez,ils marcheront, je marcherais,tu marcherais,il marcherait,nous marcherions,vous marcheriez,ils marcheraient, que je marche,que tu marches,qu'il marche,que nous marchions,que vous marchiez,qu'ils marchent, que je marchasse,que tu marchasses,qu'il marchât,que nous marchassions,que vous marchassiez,qu'ils marchassent, (tu) marche,(nous) marchons,(vous) marchez
ramper, rampant, rampé, je rampe,tu rampes,il rampe,nous rampons,vous rampez,ils rampent, j'ai rampé,tu as rampé,il a rampé,nous avons rampé,vous avez rampé,ils ont rampé, je rampais,tu rampais,il rampait,nous rampions,vous rampiez,ils rampaient, je rampai,tu rampas,il rampa,nous rampâmes,vous rampâtes,ils rampèrent, je ramperai,tu ramperas,il rampera,nous ramperons,vous ramperez,ils ramperont, je ramperais,tu ramperais,il ramperait,nous ramperions,vous ramperiez,ils ramperaient, que je rampe,que tu rampes,qu'il rampe,que nous rampions,que vous rampiez,qu'ils rampent, que je rampasse,que tu rampasses,qu'il rampât,que nous rampassions,que vous rampassiez,qu'ils rampassent, (tu) rampe,(nous) rampons,(vous) rampez
